CommitID,Commit Message
08f9a69eee8b25aee902f93848e23ba0639c2306,Removed the obnoxious size pair and replaced it with two ints. NEW - # 348: Provide a TileStore implementation for accessing remote WMS instances  http://tracker.deegree.org/deegree-services/ticket/348
0912c198a9727c541dc688bc9438fc7ea6de2452,StewartSingularValueDecomposition: re-factor monolithic code and ugly switch statement into multiple methods
09202c0d82be02bf5979c2cd627acdd8d5b709da,Enhanced tool palette composition functionality. Added Morph Activity/Gateway features.
0921796ab6415681e09e5870450227ee7414a326,Refactor Main test class to have higher abstraction
094adc5b7b2a7d1e2406b5ceb6d81b85246e1120,SONARJS-509 FunctionComplexity: ignore AMD pattern and IIFE
0976cda3d786eca49d7630d4f3c66219f5b9bff9,"Common abstraction of DockElement, DockTitle and other elements representing Dockables"
0982bfab6b8fd9b52c5d3806f07e75213721ab12,"Adding a notion of a graph composition, which is a series of GAV-sets each optionally paired with a filter that can be combined through some calculation (optionally) like add, subtract, intersection...then allow the RepositoryOps recipe to use that for complex recipes. Also, add the preset factories from aprox-depgraph (integration with cartographer) here so we can use them in embedded mode if we want."
098c1f0fd46a7844c1a6a36f10588b094e5f9ddc,"remove @JsonIgnore, remove inheritance of KillBillObject (auditLogs) and refactor worng property names for json building"
098ea617270404419252aad78c4611b1920c2ab4,reworked groups (again!); now inheritance works
098fbe687d2aa290e12b46ffeaf3f6921469afef,Major refactoring of FormModel related code: * Reorganized interfaces and implementations * Reorganized package structure * Improved JavaDoc * Introduced validation abstraction * Removed dependency on Rules for validation * Dirty tracking now works for unbuffered form models * Dirty tracking now fires property change events * Revert now works for unbuffered form models * Improved unit test coverage to about 80%
09aa7d72e179bc34850559fa960d8252f08e8b52,"[BACKLOG-4709] - Small changes in platform to improve performance - UserSettingService    - replace keySet() + get() combination with entrySet()    - remove useless object instantiation    - remove useless explicit map.remove() - AbstractSpringPentahoObjectFactory    - add logger.isDebugEnabled()    - remove useless non-null validation - OrderedApplicationEventMulticaster    - replace ArrayList with array for faster sorting    - extract stateless Comparator to a final field to avoid useless instantiation    - replace new Integer.compareTo() with Integer.compare()    - add tests - RoleAuthorizationPolicy    - create ArrayLists of exact size - JcrRepositoryFileAclUtils    - iterate through List, not Set - DefaultPermissionConversionHelper    - replace indexOf("":"") with indexOf(':') as it is more effective - AuditConnection    - change the order: first try to obtain a connection and only then sleep"
09ba39420d1e1afa1f77ed4f0a7f3a1f4501622c,Implementing code review comment from r428: Using Polymorphism for exclusion strategies for expose annotations.
09ce9aa6739652ba0d99c4a0a397c0991966754d,Added test case to ensure inheritance and properties work fine
09ebc3d811fb41e4327bd7d3c822c0508ffd3e87,Set default tray icon size which caused Tomighty to crash on start under MacOSX 10.6.8 (Lion 10.7) (issue #41)
0a261245e87793b2448921854a781f0f82f66f34,Iterator now cover splits exclusively within their range (was off by 1).  Also fixed problem where the buffer size exceeding the split size caused overlap in the iterator.
0a35c8e0ba41f8206750986368441fd1ee321e8e,"1. The joint estimation model now constrains genotypes to be AA,AB,or BB only (i.e. to use a single alternate allele).  Note that this doesn't work for the old models (point estimate or SSG) because calculations aren't divided by alternate allele. 2. Allele frequency spectrum is not emitted for single samples (since it doesn't make sense). 3. If in pooled mode, throw an exception of pool size isn't set appropriately."
0a730beb2a518a1ffc9bb363f25de239331e2336,[bs-15] Integrate audit abstraction into Spring Security setup
0a7a013167b6ae5bdceb534c9e8c2ae509302fd7,Removed complexity.
0aa150baab20b1166738273e2b91442c6c382f46,more refactoring towards a cassandra abstraction
0aac921f312127aa2afa6f4fdacd38de88311d1a,Adds base api support via single-inheritance interfaces
